title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Extraterrestrial,2014,Colin Minihan,101,2991,264,2.4,85,188,211,445,356,392,189,86,17,16
Critters 4,1992,Rupert Harvey,100,3328,276,2.0,103,360,261,470,278,256,72,33,6,19
The Batman Superman Movie: World's Finest,1997,Toshihiko Masuda,64,4660,1007,3.6,6,8,6,78,124,538,547,660,145,153
The Misadventures of Rick and Morty,2015,Dieter Wagner,2,4929,495,4.1,28,25,23,59,84,215,252,585,667,833
Reptilicus,1961,"Sidney W. Pink,Poul Bang",92,3303,267,1.9,176,464,333,413,193,182,73,47,8,13
The Damned,1963,Joseph Losey,87,1772,319,3.4,3,9,12,56,93,309,314,248,57,48
20 Million Miles to Earth,1957,Nathan H. Juran,82,2509,492,3.1,2,14,28,117,220,562,355,184,42,30
Frankenstein Must Be Destroyed,1969,Terence Fisher,98,2313,470,3.3,2,10,13,77,132,387,341,275,67,48
Captain EO,1986,Francis Ford Coppola,17,4841,651,3.0,40,86,82,253,250,593,234,266,55,149
Night of the Lepus,1972,William F. Claxton,88,2503,325,2.3,69,167,183,330,238,250,117,63,0,22
Zygote,2017,Neill Blomkamp,23,3072,681,3.5,4,10,16,65,127,477,561,524,157,91
Doctor Who: The Runaway Bride,2006,Euros Lyn,60,8473,1198,3.5,6,19,23,108,184,698,723,707,146,298
Ikarie XB 1,1963,Jindřich Polák,98,1599,332,3.6,0,4,7,27,58,239,332,306,75,57
Max Steel,2016,Stewart Hendler,92,3556,164,1.6,588,538,301,366,217,185,67,47,11,25
Robot Carnival,1987,"Koji Morimoto,Katsuhiro Otomo,Hiroyuki Kitakubo,Yasuomi Umetsu,Hiroyuki Kitazume,Takashi Nakamura,Manabu Oohashi,Hidetoshi Ômori",92,2186,555,3.5,2,11,18,43,93,283,295,314,99,98
Night of the Zombies,1980,"Bruno Mattei,Claudio Fragasso",99,2214,395,2.7,46,100,109,239,255,345,189,120,29,33
S. Darko,2009,Chris Fisher,103,4374,123,1.4,717,650,289,350,149,126,44,37,6,29
The Last Mimzy,2007,Robert Shaye,94,7442,390,2.5,127,228,258,556,457,588,250,147,36,88
The Impossible Voyage,1904,Georges Méliès,20,3219,491,3.6,6,6,12,48,84,308,318,371,104,134
OtherLife,2017,Ben C. Lucas,96,3288,440,3.1,13,53,58,219,345,700,441,314,68,62
Funky Forest: The First Contact,2005,"Katsuhito Ishii,Hajime Ishimine,Shunichiro Miki",150,1670,403,3.5,9,22,17,52,77,183,156,234,72,104
Without Warning,1980,Greydon Clark,97,2039,326,2.7,13,61,86,228,302,391,205,80,10,15
Nightbeast,1982,Don Dohler,81,1888,455,2.7,58,117,93,194,163,325,193,158,27,39
Revolutionary Girl Utena: The Adolescence of Utena,1999,Kunihiko Ikuhara,87,2341,686,3.9,6,15,12,35,45,149,211,322,200,260
Gamera: Guardian of the Universe,1995,Shusuke Kaneko,96,2272,633,3.6,2,9,7,51,92,270,388,399,103,101
Elizabeth Harvest,2018,Sebastián Gutiérrez,105,2257,284,2.8,21,60,84,265,352,487,290,141,21,18
The Butterfly Effect 2,2006,John R. Leonetti,95,6565,187,2.0,312,524,414,714,379,346,125,77,14,44
The War of the Gargantuas,1966,Ishirō Honda,88,1945,482,3.2,4,18,29,106,143,380,235,221,48,62
Duck Dodgers in the 24½th Century,1953,Chuck Jones,7,5623,1153,4.0,6,7,7,38,52,255,324,683,317,460
The Batman vs. Dracula,2005,Michael Goguen,83,4389,638,3.0,11,49,85,251,372,742,382,241,47,52
Bokeh,2017,"Geoffrey Orthwein,Andrew Sullivan",104,2936,254,2.5,87,197,220,434,387,420,191,147,27,39
Avalon,2001,Mamoru Oshii,107,2658,410,3.2,19,41,48,146,147,328,291,276,73,57
This Island Earth,1955,Joseph M. Newman,87,3393,452,2.9,15,61,65,260,333,574,282,179,21,35
The Ice Pirates,1984,Stewart Raffill,91,3637,527,2.7,44,105,130,349,316,488,252,138,22,34
North,1994,Rob Reiner,87,6051,234,1.9,390,546,300,510,289,391,110,72,9,15
